"$APF2","Fullverdige selvkjørende egenskaper"
"$APPB","Oppgradert Autopilot"
"$BC3R","Performance-bremser"
"$DV2W","Bakhjulsdrift"
"$DV4W","Dual Motor firehjulsdrift"
"$MDL3","Model 3"
"$PBSB","Solid Black"
"$PL31","Performance-pedaler"
"$PMBL","Obsidian Black Metallic"
"$PMNG","Midnight Silver Metallic"
"$PMSS","Silver Metallic"
"$PPMR","Red Multi-Coat"
"$PPSB","Deep Blue Metallic"
"$PPSW","Pearl White Multi-Coat"
"$SC04","Tilgang til Supercharger-nettverket + Betaling på stedet"
"$SLR1","Karbonfiberspoiler"
"$W32P","20-tommers Performance-felger"
"$W38B","18-tommers Aero-felger"
"$W39B","19-tommers Sport-felger"
"$IN3PB","Alt svart Premium-interiør"
"$IN3PW","Svart og hvitt Premium-interiør"
"$MT302","Long Range-bakhjuldsdrift"
"$MT303","Long Range firehjulsdrift"
"$MT304","Performance – Long Range firehjulsdrift"
"$MT305","Mid Range-bakhjulsdrift"
"$PRM31","Premium interiør"
"$SPT31","Performance-oppgradering"
"$W3SN8","18'' Nokian-vinterdekksett (pigg)"
"$W3SN9","19'' Nokian-vinterdekksett (pigg)"
"$W3WE2","20'' Pirelli-vinterdekksett"
"$W3WE8","18'' Pirelli-vinterdekksett"
"$W3WE9","19'' Pirelli-vinterdekksett"
"$W3WN2","20'' Nokian-vinterdekksett (piggfri)"
"$W3WN8","18'' Nokian-vinterdekksett (piggfri)"
"$W3WN9","19'' Nokian-vinterdekksett (piggfri)"
"$WIN31","Winter Tire group"
